First Allele, Second Allele, Yield Rate [bu/Ad],Grain yield [bu/A]
Z013E0039,LH185,1.204960282,177.1291614
Z013E0037,LH185,1.429659777,210.1599872
Z013E0034,LH185,1.997946039,293.6980678
Z013E0078,LH185,1.416012927,208.1539003
Z013E0063,LH185,1.025080478,150.6868302
Z013E0087,LH185,1.573177493,231.2570914
Z013E0055,LH185,1.265655542,186.0513647
Z013E0007,LH185,1.446767478,212.6748192
Z013E0026,LH185,1.283939332,188.7390818
Z013E0028,LH185,0.830994207,122.1561485
Z013E0014,LH185,1.10629637,162.6255664
Z013E0006,LH185,1.519422616,223.3551245
CG120,LH185,1.198346409,176.1569221
CGR01,LH185,1.383335862,203.3503717
TX772W,LH185,0.919883102,135.222816
CGR03,LH185,1.188602256,174.7245316
W10005_0220,LH185,1.100292471,161.7429932
TX740,LH185,1.217763239,179.0111961
CG65,LH185,1.556057609,228.7404685
PB80,LH185,1.313768769,193.124009
W10005_0147,LH185,1.419944864,208.731895
W10005_0029,LH185,1.508419529,221.7376707
W10005_0107,LH185,1.282941931,188.5924638
TX772W,LH185,1.190196635,174.9589054
TX204,LH185,1.266315874,186.1484335
W10005_0037,LH185,1.025438665,150.7394837
W10004_0032,LH185,1.265964997,186.0968545
LH195,LH185,1.906786189,280.2975698
TX130 RP,LH185,1.38440555,203.5076159
TX772,LH185,1.34832855,198.2042968
TX714,LH185,1.154351929,169.6897335
W10004_0076,LH185,1.261466133,185.4355216
Z022E0155,LH195,1.428890609,210.0469195
Z022E0017,LH195,1.297920814,190.7943597
Z022E0073,LH195,1.291211912,189.808151
Z022E0097,LH195,1.40269665,206.1964075
Z022E0048,LH195,1.498960464,220.3471882
Z022E0121,LH195,1.23820671,182.0163864
Z022E0110,LH195,1.377095608,202.4330544
Z022E0108,LH195,1.203581952,176.9265469
Z022E0095,LH195,0.94603645,139.0673582
Z022E0077,LH195,0.988141716,145.2568323
Z013E0087,LH185,1.881676539,276.6064512
Z013E0007,LH185,1.383041028,203.3070311
Z013E0093,LH185,1.366666758,200.9000134
Z013E0080,LH185,1.678850014,246.7909521
Z013E0036,LH185,1.765302262,259.4994325
Z013E0014,LH185,1.332561817,195.8865871
Z013E0073,LH185,1.193957195,175.5117076
Z013E0072,LH185,1.415204773,208.0351016
Z013E0002,LH185,1.681067363,247.1169024
Z013E0067,LH185,1.67028926,245.5325212
Z013E0028,LH185,1.48991238,219.0171199
Z013E0046,LH185,1.75840655,258.4857628
Z013E0079,LH185,1.759373086,258.6278437
Z013E0037,LH185,1.251250895,183.9338816
Z013E0078,LH185,1.527631681,224.5618571
Z013E0039,LH185,1.6386697,240.8844459
Z013E0022,LH185,1.389205746,204.2132446
Z013E0006,LH185,1.539961116,226.3742841
Z013E0032,LH185,1.260818797,185.3403632
Z013E0045,LH185,1.60727756,236.2698013
Z013E0026,LH185,1.693827273,248.9926092
Z013E0059,LH185,1.411842199,207.5408033
Z013E0082,LH185,1.459088791,214.4860523
Z013E0052,LH185,1.674098552,246.0924872
Z013E0020,LH185,1.894477059,278.4881277
Z013E0090,LH185,1.260558888,185.3021566
Z013E0056,LH185,1.617698288,237.8016484
Z013E0055,LH185,1.615643382,237.4995772
Z013E0063,LH185,1.526486456,224.3935091
M0186,LH185,1.24912289,183.6210649
M0287,LH185,1.350276244,198.4906078
M0352,LH185,1.345419193,197.7766214
M0317,LH185,1.123196956,165.1099525
M0001,LH185,1.252631663,184.1368544
M0269,LH185,1.216886046,178.8822488
M0051,LH185,1.225471167,180.1442615
M0114,LH185,1.271052716,186.8447493
M0028,LH185,1.015497144,149.2780801
M0052,LH185,1.165042313,171.26122
M0030,LH185,1.644736952,241.7763319
M0297,LH185,1.255701838,184.5881702
M0101,LH185,1.433682682,210.7513542
M0088,LH185,1.335510161,196.3199936
M0346,LH185,1.380247005,202.8963098
M0378,LH185,0.95175445,139.9079041
M0045,LH185,1.168128733,171.7149237
M0027,LH185,1.327282414,195.1105149
M0272,LH185,1.167349005,171.6003038
M0296,LH185,1.293648559,190.1663382
M0143,LH185,1.591780483,233.991731
M0012,LH185,1.263377277,185.7164597
M0003,LH185,1.35534447,199.2356371
M0163,LH185,1.221020224,179.489973
M0323,LH185,1.442657666,212.0706769
M0311,LH185,1.05165699,154.5935776
M0076,LH185,1.506400361,221.440853
M0039,LH185,1.229207359,180.6934818
M0154,LH185,1.057675509,155.4782998
M0022,LH185,1.362004639,200.214682
M0058,LH185,1.576250917,231.7088848
M0106,LH185,1.487029014,218.5932651
M0118,LH185,1.552631682,228.2368573
M0369,LH185,1.142755112,167.9850014
M0099,LH185,1.365334724,200.7042044
M0035,LH185,0.969964327,142.5847561
M0083,LH185,1.383698922,203.4037416
M0075,LH185,1.139376295,167.4883153
M0172,LH185,1.105466286,162.503544
M0151,LH185,0.887378227,130.4445993
M0325,LH185,1.235136535,181.5650706
M0266,LH185,0.925438658,136.0394827
M0355,LH185,1.116244389,164.0879252
B73_NC230-129-1-1-1-1,LH195,1.538547861,226.1665355
MOG_MO45-030-1-1-1-1-B,LH195,1.326819452,195.0424594
MOG_PHG83-014-1-1-1-1-B,LH195,0.949707665,139.6070268
PHN11_PHW65_0237,LH195,1.71948517,252.76432
PHW65_MOG_0029,LH195,1.564587499,229.9943623
B73_NC230-128-1-1-1-1,LH195,1.307058242,192.1375615
PHN11_PHG47_0048,LH195,1.152176815,169.3699918
PHN11_PHG47_0388,LH195,1.239896119,182.2647295
MOG_OH43_0300,LH195,1.497660918,220.156155
MOG_PHG83-090-1-1-1-1-B,LH195,1.514619984,222.6491376
PHN11_OH43_0142,LH195,1.093567324,160.7543967
MOG_LH145_0131,LH195,0.964546848,141.7883866
PHW65_MOG_0271,PB80,1.247271038,183.3488426
MO44_LH145_0143,LH195,1.562037141,229.6194597
MO44_LH145_0138,LH195,1.113677787,163.7106347
MOG_LH123HT-059-1-1-1-1-B,LH195,1.567608942,230.4385144
PHN11_PHW65_0294,LH195,1.339351941,196.8847353
PHN11_PHW65_0065,LH195,1.362816855,200.3340777
PHN11_PHW65_0328,LH195,1.446458836,212.6294489
MOG_MO45-085-1-1-1-1-B,LH195,1.249675197,183.702254
MOG_PHG83-129-1-1-1-1-B,LH195,1.452850974,213.5690932
B73_NC230-126-1-1-1-1,LH195,1.437280797,211.2802772
PHW65_MOG_0176,LH195,1.47579607,216.9420223
PHN11_PHW65_0015,LH195,1.470191781,216.1181918
PHN11_PHG47_0287,LH195,1.371799961,201.6545943
PHN11_PHW65_0359,LH195,1.109722296,163.1291775
PHN11_PHW65_0275,LH195,1.307675526,192.2283023
PHN11_OH43_0215,LH195,1.191098195,175.0914347
MOG_LH145_0131,LH195,1.273391898,187.188609
B73_NC230-041-1-1-1-1,LH195,1.341358114,197.1796428
MOG_NC230-009-1-1-1-1-B,LH195,1.48362583,218.092997
MOG_PHG83-129-1-1-1-1-B,LH195,1.696085233,249.3245293
PHN11_PHG47_0251,LH195,1.187808721,174.607882
B73_NC230-127-1-1-1-1,LH195,1.288742776,189.4451881
MOG_MO45-054-1-1-1-1-B,LH195,1.267186569,186.2764257
MOG_MO45-071-1-1-1-1-B,LH195,1.621320771,238.3341533
PHN11_OH43_0190,LH195,0.990643341,145.6245711
PHN11_PHW65_0323,LH195,1.137670641,167.2375842
PHN11_PHW65_0101,LH195,1.573554361,231.312491
PHN11_LH145_0029,PB80,1.104239839,162.3232564
PHN11_PHG47_0172,LH195,1.141366223,167.7808348
PHN11_PHW65_0312,LH195,1.208999431,177.7229163
MOG_LH145_0057,PB80,1.255027699,184.4890717
MOG_MO45-055-1-1-1-1-B,LH195,1.586078728,233.153573
MOG_MO45-074-1-1-1-1-B,LH195,1.330165781,195.5343698
M0321,LH195,1.126916904,165.6567849
M0039,LH195,1.444298342,212.3118562
M0007,LH195,1.496661893,220.0092983
M0001,LH195,1.057634898,155.47233
M0066,LH195,1.571572554,231.0211655
M0143,LH195,1.231968893,181.0994273
M0382,LH195,1.056481552,155.3027881
M0164,LH195,1.563645329,229.8558633
M0325,LH195,1.421824331,209.0081767
M0099,LH195,1.43823109,211.4199702
M0033,LH195,1.126234643,165.5564925
M0057,LH195,1.343080012,197.4327617
M0326,LH195,1.338304183,196.7307149
M0317,LH195,1.239952974,182.2730872
M0154,LH195,1.178037765,173.1715515
M0058,LH195,1.23696402,181.8337109
M0010,LH195,1.389473777,204.2526452
M0015,LH195,1.13281359,166.5235978
PHB47,LH195,1.136257386,167.0298357
W10004_0227,LH195,1.259226854,185.1063476
W10004_0097,LH195,0.907992263,133.4748627
TX303,LH195,1.575373724,231.5799375
ARGNETINE FLINTY COMPOSITE-C(1)-37-B-B-B2-1-B25,LH195,1.602079379,235.5056687
Z013E0037,LH195,1.162329512,170.8624383
Z013E0019,LH195,1.14267389,167.9730619
Z013E0062,LH195,1.020735935,150.0481825
Z013E0088,LH195,1.461939669,214.9051313
Z013E0027,LH195,1.381977025,203.1506227
Z013E0046,LH195,1.472563451,216.4668273
Z013E0021,LH195,1.344801909,197.6858806
Z013E0012,LH195,1.16179345,170.7836371
Z013E0026,LH195,1.437280797,211.2802772
Z013E0044,LH195,1.222709633,179.7383161
Z013E0074,LH195,1.342876958,197.4029128
Z013E0047,LH195,1.208333414,177.6250118
Z013E0022,LH195,1.493209976,219.5018665
Z022E0046,LH185,1.159486757,170.4445533
Z022E0023,LH185,1.816731765,267.0595694
Z022E0051,LH185,1.476608286,217.061418
Z022E0110,LH185,1.822368542,267.8881757
Z022E0166,LH185,1.67409043,246.0912932
Z022E0005,LH185,1.447368518,212.7631721
Z022E0025,LH185,1.380555648,202.9416802
Z022E0003,LH185,1.71124118,251.5524534
Z022E0048,LH185,1.58597314,233.1380516
Z022E0073,LH185,1.201559534,176.6292515
Z022E0149,LH185,1.202461094,176.7617808
Z022E0123,LH185,1.49051342,219.1054727
Z022E0009,LH185,1.520630381,223.532666
Z022E0006,LH185,1.212020873,178.1670684
Z022E0142,LH185,1.307667403,192.2271083
Z022E0059,LH185,1.534600492,225.5862723
Z022E0017,LH185,1.230701836,180.9131699
Z022E0027,LH185,1.356936413,199.4696527
Z022E0130,LH185,1.120078048,164.651473
Z022E0108,LH185,1.235932506,181.6820784
Z022E0077,LH185,1.056384086,155.2884606
Z022E0053,LH185,1.214619964,178.5491347
Z022E0097,LH185,1.337150836,196.5611729
Z022E0121,LH185,1.157456218,170.146064
Z022E0042,LH185,1.175048812,172.7321753
Z022E0114,LH185,1.148976685,168.8995727
TX204,LH185,1.304239853,191.7232584
TX772,LH185,1.51701602,223.001355
W10005_0107,LH185,1.160640103,170.6140952
W10004_0032,LH185,1.052306763,154.6890941
TX772W,LH185,1.33125415,195.69436
W10004_0076,LH185,1.320053694,194.047893
CG65,LH185,0.847368478,124.5631662
W10005_0037,LH185,1.008642042,148.2703802
TX204,LH185,1.546458842,227.3294498
CG120,LH185,0.936972122,137.734902
PB80,LH185,1.485217773,218.3270126
TX740,LH185,1.569931878,230.7799861
LH195,LH185,1.458333431,214.3750143
TX772W,LH185,1.369655712,201.3393896
W10005_0107,LH185,1.049122877,154.2210629
TX130 RP,LH185,1.568518623,230.5722376
CGR01,LH185,1.286054342,189.0499882
PHG39,PHM49,1.402956559,206.2346141
LH74,PHM49,1.300617371,191.1907535
LH132,LH51,1.387475726,203.9589317
PHG39,PHG35,1.319038424,193.8986484
B37,MO17,1.417056624,208.3073238
B37,OH43,1.380043952,202.8664609
LH195,REDEAR-B,1.36671549,200.9071771
PHW52,PHG35,1.412280796,207.605277
PHW52,TX205,1.704629743,250.5805722
LH74,TX205,1.18076681,173.5727211
PHW52,PHM49,1.689546896,248.3633937
LH74,PHG35,1.513157995,222.4342253
LH82,CGR01,1.096263881,161.1507905
B73,PHM49,1.604938378,235.9259416
B73,MO17,1.958569006,287.9096439
LH198,CGR01,1.141894163,167.858442
B73,PHN82,1.357699895,199.5818846
LH74,PHN82,1.204548488,177.0686278
PHG39,PHN82,1.193542965,175.4508158
LH162,CG60,0.838612791,123.2760803
PHW52,PHN82,1.526486456,224.3935091
LH82,LH198,0.506790157,74.49815311
LH82,CG60,1.078622554,158.5575154
B73,PHG35,1.650292507,242.5929986
PHG39,TX205,1.302696643,191.4964065
B73,TX205,1.578013425,231.9679735
Z022E0077,LH195,0.177259621,28.36153935
Z022E0155,LH195,0.267189764,42.75036225
Z022E0110,LH195,0.417616711,66.81867374
Z022E0048,LH195,0.315305839,50.44893428
Z022E0097,LH195,0.671542876,107.4468602
Z022E0108,LH195,0.467749894,74.83998306
Z022E0121,LH195,0.562380687,89.98090987
Z022E0017,LH195,0.606373505,97.01976085
Z022E0147,LH195,0.679819526,108.7711242
Z022E0060,LH195,0.544921229,87.18739671
W10005_0346,LH195,0.728378064,116.5404902
PHB47,LH195,0.794335785,127.0937256
W10004_0097,LH195,0.674748332,107.9597331
LH216,LH195,1.151321447,184.2114315
TX303,LH195,0.980413148,156.8661037
M0015,PB80,0.454199311,72.67188983
M0368,PB80,0.482694987,77.23119788
M0008,PB80,0.511489975,81.83839599
M0328,PB80,0.583666142,93.38658279
M0266,PB80,0.576264144,92.20226297
M0382,PB80,0.835136162,133.6217859
M0075,PB80,0.785731056,125.7169689
M0369,PB80,0.466122509,74.57960146
M0326,PB80,0.582207934,93.15326949
M0310,PB80,0.704070028,112.6512045
M0056,PB80,0.245832391,39.33318257
M0028,PB80,0.30832781,49.33244956
M0010,PB80,0.491862041,78.69792654
M0275,PB80,0.635166439,101.6266302
M0016,PB80,0.599984512,95.99752199
M0325,PB80,0.914947889,146.3916622
M0031,PB80,0.721991811,115.5186897
M0007,PB80,0.486741532,77.87864505
M0143,PB80,0.448811681,71.80986894
M0039,PB80,0.568467627,90.95482033
M0029,PB80,0.461131451,73.78103214
M0164,PB80,0.507574936,81.21198975
M0052,PB80,0.415059881,66.40958094
M0323,PB80,0.289395076,46.30321215
M0264,PB80,0.287093723,45.93499575
M0262,PB80,0.127877117,20.46033872
M0048,PB80,0.105913584,16.94617346
M0276,PB80,0.170387755,27.2620408
M0315,PB80,0.293647784,46.98364537
M0030,PB80,0.370853365,59.33653843
Z013E0082,LH195,0.550093108,88.01489731
Z013E0027,LH195,0.884294695,141.4871512
Z013E0044,LH195,0.657611475,105.217836
Z013E0046,LH195,0.801450115,128.2320184
Z013E0021,LH195,0.716350073,114.6160116
Z013E0047,LH195,0.667479209,106.7966734
Z013E0062,LH195,0.6086502,97.38403207
Z013E0037,LH195,0.755257313,120.8411701
Z013E0074,LH195,0.775903048,124.1444876
Z013E0022,LH195,0.64761155,103.617848
Z013E0012,LH195,0.51288517,82.06162718
Z013E0026,LH195,0.87960295,140.736472
Z013E0032,LH195,0.801824085,128.2918536
M0321,LH195,0.582264783,93.16236531
M0154,LH195,0.786974882,125.9159811
M0007,LH195,0.555899914,88.94398619
M0001,LH195,0.623604197,99.77667155
M0099,LH195,0.915198572,146.4317715
M0276,LH195,1.013558788,162.1694061
M0057,LH195,0.610643336,97.70293378
M0382,LH195,0.665025118,106.4040188
M0031,LH195,0.652969729,104.4751566
M0383,LH195,0.78583174,125.7330784
M0058,LH195,0.729819834,116.7711734
M0039,LH195,0.829039633,132.6463413
M0325,LH195,0.589994862,94.39917789
M0127,LH195,0.672634649,107.6215438
M0326,LH195,0.709605603,113.5368965
M0164,LH195,0.64124516,102.5992256
M0066,LH195,0.689405755,110.3049208
M0010,LH195,0.766609282,122.6574851
PHN11_OH43_0215,PB80,0.781383143,125.0213029
MOG_MO45-055-1-1-1-1-B,PB80,0.516730346,82.67685541
MOG_NC230-009-1-1-1-1-B,PB80,0.39331484,62.93037432
MOG_NC230-007-1-1-1-1-B,PB80,0.482601837,77.21629389
MOG_MO45-030-1-1-1-1-B,PB80,0.403695583,64.59129329
MOG_MO45-128-1-1-1-1-B,PB80,0.462256785,73.96108558
MOG_LH123HT-199-1-1-1-1-B,PB80,0.591827725,94.69243595
MOG_NC230-028-1-1-1-1-B,PB80,0.304210033,48.67360522
MOG_PHG83-069-1-1-1-1-B,PB80,0.319038688,51.04619005
B73_NC230-128-1-1-1-1,PB80,0.206216252,32.99460027
MOG_PHG83-224-1-1-1-1-B,PB80,0.25704669,41.12747039
MOG_NC230-008-1-1-1-1-B,PB80,0.38061562,60.89849924
MOG_MO45-078-1-1-1-1-B,PB80,0.250635095,40.10161512
MOG_PHG83-197-1-1-1-1-B,PB80,0.339997434,54.39958939
